id,first_name,middle_name,last_name,address,phone,role,username,password,account_id,status,created_at,updated_at
01KZRW48771BV67J8RNDGKP3AK,Elara,James,Smith,"742 Evergreen Terrace, Springfield, IL 62704",+1-555-018-1122,distributor-admin,User1234,hapi123,01KZRRGW1442K27HM42RTFZG1M,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW48777JDTMGDM6JZY87AF,Caspian,Marie,Rodriguez,"123 Maple Avenue, Portland, OR 97201",+1-555-019-3344,distributor-admin,SkyWalker99,hapi123,01KZRRGW1442K27HM42RTFZG1M,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877QESJQX4TK48W4NS1,Seraphina,Alexander,Chen,"8502 Oak Lane, Austin, TX 78701",+1-555-017-5566,distributor-user,PixelPioneer,hapi123,01KZRRGW1442K27HM42RTFZG1M,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW48773GHQQ4H8241WY49R,Thatcher,Grace,Müller,"42 Cherry Blossom Court, Seattle, WA 98101",+1-555-011-8899,distributor-user,LunaRider,hapi123,01KZRRGW1442K27HM42RTFZG1M,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877JT4P6WNFK8H35SP9,Lysandra,Theodore,Tanaka,"910 Pine Street, Miami, FL 33101",+1-555-015-2233,distributor-user,GhostCoder,hapi123,01KZRRGW1442K27HM42RTFZG1M,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877NAVZSR88Z0ZHKRW9,Liam,William,Johnson,"4321 Birch Way, Denver, CO 80202",+1-555-016-4321,distributor-admin,NeonViper,hapi123,01KZRRGW14N5VHBCMAJGNJ0GJH,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877B3D0MZHS3AQRJ814,Emma,Elizabeth,Williams,"567 Cedar Road, Atlanta, GA 30303",+1-555-018-9900,distributor-admin,ZenithExplorer,hapi123,01KZRRGW14N5VHBCMAJGNJ0GJH,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877EFAE21HQ86WYE6X8,Noah,Julian,Brown,"890 Willow Lane, Boston, MA 02108",+1-555-012-7788,distributor-user,FrostByte,hapi123,01KZRRGW14N5VHBCMAJGNJ0GJH,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877G0YHH3T1F43JMJ4N,Olivia,Sophia,Garcia,"112 Spruce Court, Phoenix, AZ 85001",+1-555-013-4455,distributor-user,ShadowStep,hapi123,01KZRRGW14N5VHBCMAJGNJ0GJH,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877ZVCRK1H9RNQPG5NR,James,Gabriel,Miller,"334 Juniper Street, Las Vegas, NV 89101",+1-555-015-6677,distributor-user,MysticMaven,hapi123,01KZRRGW14N5VHBCMAJGNJ0GJH,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877ASYYCMJDQ4ZM72CY,Sophia,Benjamin,Davis,"4321 Birch Way, Denver, CO 80202",+1-555-012-3456,distributor-admin,OrbitSeeker,hapi123,01KZRRGW14N56M3HGFGXE3FN5T,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877TRFEBWEFKEZC1X5H,Lucas,Catherine,Martinez,"567 Cedar Road, Atlanta, GA 30303",+1-555-019-8765,distributor-admin,Velocix7,hapi123,01KZRRGW14N56M3HGFGXE3FN5T,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877BKP2FRH1B8G1CTC9,Isabella,Sebastian,Hernandez,"890 Willow Lane, Boston, MA 02108",+1-555-011-2233,distributor-user,NovaPulse,hapi123,01KZRRGW14N56M3HGFGXE3FN5T,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877NYSZZ4VFYZTN4ES1,Ethan,Isabella,Lopez,"112 Spruce Court, Phoenix, AZ 85001",+1-555-014-5566,distributor-user,EchoStream,hapi123,01KZRRGW14N56M3HGFGXE3FN5T,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
01KZRW4877SVSEW2MKDM1JJJMY,Ava,Nathaniel,Gonzalez,"334 Juniper Street, Las Vegas, NV 89101",+1-555-017-8899,distributor-user,TitanWave,hapi123,01KZRRGW14N56M3HGFGXE3FN5T,active,2026-08-23 16:20:11.752004+08,2026-08-23 16:20:11.752004+08
